searched_name,institution_name,program,id,display_name,title,publication_date,publication_year,type,doi,cited_by_count,is_oa,oa_status
Ana Pozas Franco,University of British Columbia,MSc,https://openalex.org/W4327604749,Drivers and Potential Consequences of Observed Extreme Hypoxia Along the Canadian Pacific Continental Shelf,Drivers and Potential Consequences of Observed Extreme Hypoxia Along the Canadian Pacific Continental Shelf,2023-03-15,2023,article,https://doi.org/10.1029/2022gl101857,12,TRUE,gold
Anna Cho,University of British Columbia,PhD,https://openalex.org/W4388571327,Phylogenomic position of genetically diverse phagotrophic stramenopile flagellates in the sediment-associated MAST-6 lineage and a potentially halotolerant placididean,Phylogenomic position of genetically diverse phagotrophic stramenopile flagellates in the sediment-associated MAST-6 lineage and a potentially halotolerant placididean,2023-11-10,2023,article,https://doi.org/10.1016/j.ympev.2023.107964,9,FALSE,closed
Anna Cho,University of British Columbia,PhD,https://openalex.org/W4401715634,The core microbiome of cultured Pacific oyster spat is affected by age but not mortality,The core microbiome of cultured Pacific oyster spat is affected by age but not mortality,2024-08-20,2024,article,https://doi.org/10.1128/spectrum.00031-24,4,TRUE,gold
Anna Cho,University of British Columbia,PhD,https://openalex.org/W4220758123,Monophyly of diverse Bigyromonadea and their impact on phylogenomic relationships within stramenopiles,Monophyly of diverse Bigyromonadea and their impact on phylogenomic relationships within stramenopiles,2022-03-28,2022,article,https://doi.org/10.1016/j.ympev.2022.107468,16,TRUE,green
Anna Cho,University of British Columbia,PhD,https://openalex.org/W4399427200,Phylogenomic analyses of ochrophytes (stramenopiles) with an emphasis on neglected lineages,Phylogenomic analyses of ochrophytes (stramenopiles) with an emphasis on neglected lineages,2024-06-07,2024,article,https://doi.org/10.1016/j.ympev.2024.108120,9,TRUE,hybrid
Anna Cho,University of British Columbia,PhD,https://openalex.org/W4393373630,Genomic analyses of Symbiomonas scintillans show no evidence for endosymbiotic bacteria but does reveal the presence of giant viruses,Genomic analyses of Symbiomonas scintillans show no evidence for endosymbiotic bacteria but does reveal the presence of giant viruses,2024-04-01,2024,article,https://doi.org/10.1371/journal.pgen.1011218,1,TRUE,gold
Beatrice Rost-Komiya,University of British Columbia,MSc,https://openalex.org/W4285739811,Do bromeliads affect the arboreal ant communities on orange trees in northwestern Costa Rica?,Do bromeliads affect the arboreal ant communities on orange trees in northwestern Costa Rica?,2022-07-06,2022,article,https://doi.org/10.1371/journal.pone.0271040,1,TRUE,gold
Brock Burgess,University of British Columbia,PhD,https://openalex.org/W4281752187,A genotyping‐in‐thousands by sequencing panel to inform invasive deer management using noninvasive fecal and hair samples,A genotyping‐in‐thousands by sequencing panel to inform invasive deer management using noninvasive fecal and hair samples,2022-06-01,2022,article,https://doi.org/10.1002/ece3.8993,18,TRUE,gold
Brock Burgess,University of British Columbia,PhD,https://openalex.org/W3194031332,The Promise of Genetics and Genomics for Improving Invasive Mammal Management on Islands,The Promise of Genetics and Genomics for Improving Invasive Mammal Management on Islands,2021-08-03,2021,article,https://doi.org/10.3389/fevo.2021.704809,19,TRUE,gold
Brock Burgess,University of British Columbia,PhD,https://openalex.org/W4221012194,Population genomics of Sitka black-tailed deer supports invasive species management and ecological restoration on islands,Population genomics of Sitka black-tailed deer supports invasive species management and ecological restoration on islands,2022-03-10,2022,article,https://doi.org/10.1038/s42003-022-03159-5,9,TRUE,gold
Brock Burgess,University of British Columbia,PhD,https://openalex.org/W4385782684,Past population control biases interpretations of contemporary genetic data: implications for future invasive Sitka black-tailed deer management in Haida Gwaii,Past population control biases interpretations of contemporary genetic data: implications for future invasive Sitka black-tailed deer management in Haida Gwaii,2023-08-12,2023,article,https://doi.org/10.1007/s10530-023-03145-w,2,FALSE,closed
Brock Burgess,University of British Columbia,PhD,https://openalex.org/W7126053263,Environmental <scp>DNA</scp> Reflects Differences in Freshwater Habitat Use Between Two Pacific Salmonids at Fine Temporal Scales,Environmental <scp>DNA</scp> Reflects Differences in Freshwater Habitat Use Between Two Pacific Salmonids at Fine Temporal Scales,2026-01-01,2026,article,https://doi.org/10.1002/edn3.70231,0,TRUE,gold
Bryson Sjodin,University of British Columbia,PhD,https://openalex.org/W3164091966,Chromosome-Level Reference Genome Assembly for the American Pika (<i>Ochotona princeps</i>),Chromosome-Level Reference Genome Assembly for the American Pika (<i>Ochotona princeps</i>),2021-05-21,2021,article,https://doi.org/10.1093/jhered/esab031,19,TRUE,bronze
Bryson Sjodin,University of British Columbia,PhD,https://openalex.org/W3036707593,"RapidRat: Development, validation and application of a genotyping-by-sequencing panel for rapid biosecurity and invasive species management","RapidRat: Development, validation and application of a genotyping-by-sequencing panel for rapid biosecurity and invasive species management",2020-06-18,2020,article,https://doi.org/10.1371/journal.pone.0234694,12,TRUE,gold
Bryson Sjodin,University of British Columbia,PhD,https://openalex.org/W3094382044,Global origins of invasive brown rats (Rattus norvegicus) in the Haida Gwaii archipelago,Global origins of invasive brown rats (Rattus norvegicus) in the Haida Gwaii archipelago,2020-10-22,2020,article,https://doi.org/10.1007/s10530-020-02390-7,6,FALSE,closed
